revenue_event_id,invoice_id,invoice_line_id,claim_id,billable_activity_id,event_type,event_datetime,amount,currency,source_status,source_system,updated_at
REV-000000173,INV-000000062,,,,COLLECTED,2022-07-31T11:00:00,750.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000174,INV-000000063,,,,COLLECTED,2022-02-20T11:00:00,262.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000175,INV-000000064,,,,COLLECTED,2024-05-18T11:00:00,550.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000176,INV-000000065,,,,COLLECTED,2022-12-19T11:00:00,262.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000177,INV-000000066,,,,COLLECTED,2023-01-06T11:00:00,100.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000178,INV-000000067,,,,COLLECTED,2023-02-18T11:00:00,225.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000179,INV-000000068,,,,COLLECTED,2024-06-02T11:00:00,375.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000180,INV-000000069,,,,COLLECTED,2023-01-20T11:00:00,137.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000181,INV-000000070,,,,COLLECTED,2022-04-07T11:00:00,300.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000182,INV-000000071,,,,COLLECTED,2023-01-17T11:00:00,487.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000183,INV-000000072,,,,COLLECTED,2024-03-25T11:00:00,175.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000184,INV-000000073,,,,COLLECTED,2024-03-16T11:00:00,375.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000185,INV-000000074,,,,COLLECTED,2023-04-11T11:00:00,600.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000186,INV-000000075,,,,COLLECTED,2024-10-28T11:00:00,212.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000187,INV-000000076,,,,COLLECTED,2022-11-05T11:00:00,450.00,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
REV-000000188,INV-000000077,,,,COLLECTED,2024-06-04T11:00:00,712.50,GBP,POSTED,SYN-BILLING,2025-01-01T09:00:00
